"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-09-18","0.04","79","88",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-09-19","0.00","74","83",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-09-20",,"76","77",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-09-21",,"76","78",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-09-22","0.07","76","83",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-09-24","0.00","81","87",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-09-25","0.00","83","90",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-09-26","0.00","83","92",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-09-27","0.00","84","92",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-09-28","0.00","84","92",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-09-29","0.00","83","92",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-10-12","0.00","83","91",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-10-13","0.00","83","92",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-10-14","0.00","83","92",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-10-16","0.00","84","95",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-10-17","0.00","82","91",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-10-18","0.12","82","92",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-10-19","0.00","82","94",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-10-21","0.00","80","89",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-10-22","0.50","76","81",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-10-23","0.00","79","88",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-10-24","0.00","80","90",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-10-25","0.00","79","90",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-10-26","0.00","79","90",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-10-27",,"74","77",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-10-29","0.00","70","74",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-10-30","0.00","73","82",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-11-12","0.00","74","89",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-11-13","0.00","73","85",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-11-14","0.00","72","87",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-11-15","0.00","72","87",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-11-16","0.00","72","85",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-11-17","0.00","72","87",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-11-18","0.00","73","87",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-11-19","0.00","74","87",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-11-20","0.00","75","87",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-11-21","0.00","73","85",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-11-22","0.00","73","85",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-11-24","0.00","71","84",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-11-27","0.00","70","82",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-11-28","0.00","73","84",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-11-29","0.00","70","83",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-11-30","0.00","70","86",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-12-04","0.00","65","78",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-12-05","0.00","64","80",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-12-06","0.00","63","80",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-12-18","0.00","64","82",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-12-19","0.00","64",,
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-12-20","0.00","65","78",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-12-21","0.00","64","79",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-12-22","0.00","66","80",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-12-23","0.00","67","81",
